company_name,position_name,position_description,skills
PwC Deutschland,Manager SAP Public Sector (w/m/d),"PwC DeutschlandPwC DeutschlandManager SAP Public Sector (w/m/d)BerlinHome-OfficeBusiness IntelligenceConsultingData AnalyticsDigitalisierungSAPSAP Business Warehouse (SAP BW) +2TopJetzt bewerbenJoin our Community of SolversFür unseren Geschäftsbereich Transformation suchen wir dich zum nächstmöglichen Zeitpunkt als Manager SAP Public Sector (w/m/d).Das erwartet dichBeratung - Werde Teil eines interdisziplinären Teams und erarbeite digitale Transformationsstrategien und Lösungen für die zentralen Herausforderungen des öffentlichen Sektors und der Energiewirtschaft in den Bereichen Analytics, Planung und Reporting.Digitalisierung - Du berätst unsere Kunden in der Stärkung ihrer Data Analytics Fähigkeiten und damit verbundener Prozesse, Organisationen und IT-Plattformen auf Basis des SAP Produktportfolios. Dabei bringst du ihnen als erfahrene:r Berater:in verständlich näher, welche Möglichkeiten ihnen moderne Analytics-Methoden und -Werkzeuge im SAP-Umfeld eröffnen und wie sie diese in bestehende BI & Analytics Landschaften integrieren.Verantwortung - Du bist für die Koordination und Umsetzung von Teilprojekten zuständig. Außerdem erwartet dich ein umfassendes Weiterbildungsangebot an Zertifizierungen in diversen SAP Modulen.Das bringst du mitDu verfügst über einen erfolgreichen Studienabschluss und einschlägige Erfahrung von mindestens zwei Jahren in den Themen Planung, Controlling und / oder Budgetierung.Expertise in einer oder mehreren Technologien (SAP BW/4HANA, SAP S/4HANA, SAP Analytics Cloud, SAP HANA, SAP Business Planning and Consolidation (BPC) oder SAP Integrated Planning (IP)) zeichnet dich aus.Sehr gute Deutschkenntnisse sowie die für das Beratungsumfeld notwendige Flexibilität und Mobilität runden dein Profil ab.)Deine BenefitsFlexibilität – In Abstimmung mit deinem Team erwartet dich ein Mix aus gemeinsamen Bürotagen und Home Office. Dabei gibt es keine Kernarbeitszeiten – im Rahmen der betrieblichen Anforderungen und arbeitsrechtlichen Vorgaben kannst du deine Arbeitszeit flexibel gestalten. Zusätzlich hast du die Möglichkeit, temporär in über 40 Ländern zu arbeiten.Masterförderung – Durch unsere interne Academy, internationale Erfahrungen durch Secondments und kontinuierliches Mentoring entwickelst du dich stetig weiter. Darüber hinaus bieten wir die Möglichkeit einer Masterförderung für Examensmaster und Spezialisierungsmaster an.Freizeit – Überstunden kannst du auf deinem Jahresarbeitszeitenkonto (JAZ) sammeln und nach arbeitsintensiven Pha",Business Intelligence;Consulting;Data Analytics;Digitalisierung;Site Reliability Engineering
Reply Deutschland SE,SAP FI/CO Consultant (m/w/d),"Aufgaben: Du willst mit SAP S/4HANA nicht nur Prozesse optimieren, sondern ganze Finanzlandschaften gestalten? Dann bring dein Fachwissen in spannenden Kundenprojekten der Konsumgüterbranche ein – und entwickle gemeinsam mit uns zukunftsfähige Lösungen im Finance- und Controlling-Umfeld. Du bist Teil bei der Umsetzung von SAP S/4HANA-Projekten mit Schwerpunkt auf den Modulen Controlling (CO) und kaufmännisches Projektsystem (PS) oder alternativ Finance (FI) und Financial Supply Chain Management (FSCM) In enger Zusammenarbeit mit Kund*innen und dem Projektteam konzipierst du integrative Geschäftsprozesse und setzt sie technisch über Customizing um Die Weiterentwicklung unserer Themen im Bereich FMCG (Konsumgüterindustrie) gestaltest du aktiv mit – fachlich wie strategisch Du unterstützt bei abwechslungsreichen Teilprojekten bei namhaften Kund*innen und bringst dein Know-how in crossfunktionalen Teams ein | Qualifikationen: Ein erfolgreich abgeschlossenes Studium – z. B. in (Wirtschafts-)Informatik, (Wirtschafts-)Mathematik, Physik oder BWL bildet die fachliche Grundlage Du hast erste Kenntnisse im SAP Umfeld, insbesondere im Bereich Controlling und/oder Finance Idealerweise bringst du erste Berufserfahrung im IT-Projekt-Umfeld mit (auch im Rahmen von Praktika oder Werkstudierendentätigkeiten) Affinität für digitale Trends und neue Technologien, insbesondere im Bereich (Gen)AI, sind ein Plus Persönlich überzeugst du durch Teamgeist, Kommunikationsstärke und hast Interesse, aktiv in den Kundenkontakt zu gehen, auch vor Ort bei Projekten Deine Sprachkenntnisse in Deutsch (verhandlungssicher) und Englisch (sicher in Wort und Schrift) ermöglichen dir die Arbeit in vielfältigen Projektkontexten",Consultant;Consulting;Site Reliability Engineering
MHP Management- und IT-Beratung,(Senior) SAP Consultant IBP (all genders),"Aufgaben: Du begeisterst dich für die digitale Transformation von Wertschöpfungsketten? Du hast eine hohe Affinität für SAP-basierte Business- und IT-Lösungen? Dann werde Teil unseres Teams und gestalte gemeinsam mit uns die erfolgreiche digitale Zukunft unserer Kunden – immer mit dem Fokus auf die Wertschöpfungsprozesse: Von der Planung, über die Beschaffung, Logistik, Produktion, sowie den Vertrieb und Service – end-to-end! Dabei warten die folgenden Aufgaben auf dich: Abbildung komplexer Planungsprozesse in SAP ERP, S/4HANA (insb. ePP/DS) und SAP IBP Überführung der Planungsprozesse nach SAP IBP und SAP S/4HANA (insb. ePP/DS) und Optimierung dieser in den zukunftsorientierten Planungsapplikationen Konzeption von Lösungs- und Optimierungsverfahren für Planungsprozesse (wie Heuristiken, Optimizer, Solver) in unterschiedlichen Branchen wie z. B. OEM, Automobilzulieferer, Consumer Goods, Medical Devices & Body Care etc. Übernahme von (Teil-) Projektleitungsaufgaben im Umfeld Supply Chain Planning Vorantreiben innovativer interner Aufgaben zur Weiterentwicklung von Beratungslösungen | Anforderungen: Um für deinen Weg als (Senior) Consultant bei MHP gewappnet zu sein, hast du folgende Qualifikationen im Gepäck: Abgeschlossenes Studium und mind. 1 Jahr Berufserfahrung in der Beratung oder im Inhouse Consulting Leidenschaft für mindestens eine der folgenden SAP-Lösungen: SAP IBP, SAP PP/DS, SAP SCM/APO und SAP S/4HANA Expertise in der Gestaltung und Umsetzung in mindestens einem der folgenden Planungsprozesse: Sales and Operations Planning, Absatzplanung, Produktions- und Feinplanung, Bestandsplanung/-optimierung, Netzwerk-/ Materialplanung Deine Arbeitsweise ist geprägt durch das Auftreten als Trusted Advisor vom Top-Management bis zum Werker sowie den MHP Kolleg:innen und zeichnet sich durch starke analytische, konzeptionelle und problemlösungsorientierte Fähigkeiten aus Wissenswertes vor der Abfahrt: Beginn: nach Vereinbarung – immer zu Beginn eines Monats Arbeitszeit: in Vollzeit (40h); 30 Urlaubstage Arbeitsverhältnis: Unbefristet Bereich: Consulting Sprache: sicheres Deutsch & Englisch Flexibilität & Reisebereitschaft Sonstiges: eine gültige Arbeitserlaubnis; bei Bedarf können wir die Arbeitserlaubnis im Rahmen unseres Recruiting-Prozesses beantragen. Das Verfahren benötigt Zeit und hat Einfluss auf das Startdatum | Unternehmensprofil: Als Technologie- und Businesspartner digitalisiert MHP die Prozesse und Produkte seiner Kunden und begleitet sie bei ihren IT-Transformationen entlang der gesamten Wertschöpfungskette. Als Digitalisierungspionier in den Sektoren Mobility und Manufacturing überträgt MHP seine Expertise in unterschiedlichste Branchen und ist der Premium-Partner für Thought Leader auf dem Weg in ein Better Tomorrow. Weltweit betreut MHP über 300 Kunden: führende Konzerne und innovative Mittelständler. MHP berät sowohl operativ als auch strategisch und liefert ausgewiesene IT- und Technologie-Expertise sowie spezifisches Branchen Know-how. Als OneTeam agiert MHP international, mit Hauptsitz in Deutschland und Tochtergesellschaften in den USA, UK, Rumänien und China. Seit 25 Jahren gestaltet MHP gemeinsam mit seinen Kunden die Zukunft. Über 3.000 MHPler:innen vereint der Anspruch nach Excellence und nachhaltigem Erfolg. Dieser Anspruch treibt MHP weiter an – heute, morgen und in Zukunft. MHP: DRIVEN BY EXCELLENCE. www.mhp.com",Consultant;Consulting;Projektmanagement
Deutsche Bahn,Techniker:in (m/w/d) Informations- und Kommunikationstechnik Netzüberwachung,"Deine Aufgaben:: Zu deinen Aufgaben gehört die Unterstützung bei der Alarmüberwachung und Entstörung Du arbeitest an der Schnittstelle zum Fieldservice und Kund:innen der zu überwachenden Technik für die Sicherstellung des Eisenbahnbetriebes Aktiv begleitest du den operativen Melde- / Informationsprozess zu Kund:innen im Rahmen der Entstörung im Wechseldienst Du erfasst und bewertest angezeigte Störmeldungen durch Nutzer:innen / Kund:innen für die nachgelagerte Entstörung in der TK-Netzüberwachung und Betriebsführung Die Sicherstellung der Kommunikation bei ITK-Störungen mit kritischen Auswirkungen auf den Bahnbetrieb rundet dein Aufgabengebiet ab | Dein Profil:: Du hast eine abgeschlossene Berufsausbildung als Fachinformatiker:in, Nachrichtentechniker:in, Netzwerktechniker:in, Industrieelektroniker:in, Betriebstechniker:in oder eine ähnliche Ausbildung mit Schwerpunkt auf Informationstechnologie Deine einschlägige Berufserfahrung auf dem Gebiet der Instandhaltung und / oder des technischen 1st-Level-Supports für ITK-Anwendungen ist für uns sehr wertvoll Kenntnisse über die zentrale Überwachung von IT-Infrastruktur sind wünschenswert Die Bereitschaft zur Arbeit im Wechsel- / Rufbereitschaftsdienst und vor Ort ist für dich selbstverständlich Auch unter Stress kannst du Probleme eigenverantwortlich lösen und überzeugst durch Eigeninitiative, Kundenorientierung und Qualitäts- und Kostenbewusstsein Grundlagenkenntnisse in der Telekommunikations- / Informationstechnik und ein sehr versierter Umgang mit MS Office rundet dein Profil ab",Kommunikation;MS Office / Microsoft 365;Support
CALEO Consulting,IT-Consultant (m/w/d) Enterprise Performance Management,"CALEO ConsultingCALEO ConsultingIT-Consultant (m/w/d) Enterprise Performance Managementbundesweit, MünchenHome-OfficeConsultantConsultingSAPJetzt bewerbenWofür wir deine Unterstützung brauchen:Durchführung von IT-Projekten im SAP-Umfeld bei namhaften KundenAbwechslungsreiches, anspruchsvolles Tätigkeitsfeld an der Schnittstelle zwischen BWL und ITGanzheitlicher Ansatz - von der Konzeption und Implementierung über Tests bis hin zu weltweiten Rollouts und der Durchführung von Workshops.Was dich auszeichnet:Starke IT-Affinität sowie Interesse an betriebswirtschaftlichen FragestellungenEin überdurchschnittlich gut abgeschlossenes Studium (MINT, Wirtschaftswissenschaften oder vergleichbar)Ausgeprägte Kundenorientierung und KommunikationsfähigkeitSehr gute Deutsch- und EnglischkenntnisseWas uns auszeichnet:Mobile Office und flexible ArbeitszeitgestaltungHochwertige Ausstattung – auch zur privaten NutzungUnbefristeter Arbeitsvertrag und eine langfristige Perspektive durch WeiterentwicklungWork-Life-Balance und regelmäßige Team-EventsJetzt bewerbenJob-InfosBerufsfelderConsultingStudienfächerInformatikInformationstechnikIngenieurwissenschaftenMathematikNaturwissenschaftenWirtschaftsinformatikWirtschaftswissenschaftenAbschlussBachelorMaster/DiplomUnternehmenCALEO ConsultingProfil2 IT-JobsIT-GehälterSalary Calculator Gerry LogoWas kann ich verdienen?Gehalt ausrechnenÄhnliche IT-JobsVirtimoIT-Consultant für die digitale Transformation [m/w/d] Berlin ConsultingCapgeminiTechnical Gen AI Solutions Consultant (w/m/d) Stuttgart +12 System Engineering / Admin +1DeloitteAI Governance Masterclass - Dein Einstieg als Consultant Data Management (m/w/d) Stuttgart +7 Consulting +2MHP Management- und IT-Beratung(Senior) Consultant SAP HCM - Payroll & Time Management (all genders) bundesweit ConsultingDeloitteModern Data Management Masterclass - Dein Einstieg als Consultant Data Management (m/w/d) Stuttgart +7 Consulting +1Alle anzeigenWeitere JobsConsultingget in IT hat die Informationen von der Webseite des Unternehmens und ggf. sonstigen Quellen sorgfältig zusammengestellt. Diese Informationen wurden vom Unternehmen noch nicht autorisiert.Informationen für UnternehmenArbeitgeber bewerben sich bei Dir!So funktioniert's:Anonymes Profil anlegenUnternehmens- anfragen erhaltenKontaktdaten freigeben & durchstarten!Zur RegistrierungArbeitgeber bewerben sich bei Dir!So funktioniert's:Anonymes Profil anlegenUnternehmens- anfragen erhaltenKontaktdaten freigeben & durchstarten!Ja, ich akze",Consultant;Consulting;Site Reliability Engineering
Controlware,Cyber Security Analyst (m/w/d) Schwerpunkt: Microsoft Defender und Sentinel,"ControlwareControlwareCyber Security Analyst (m/w/d) Schwerpunkt: Microsoft Defender und SentinelbundesweitConsultingIncident ResponseIT-SecurityKommunikationSecurity AnalystSOCJetzt bewerbenDas erwartet dichErbringung des Managed SOC Services für externe KundenAnalyse von Incidents anhand von Log- und Telemetrie-Daten sowie Unterstützung bei SicherheitsvorfällenBeratung und Unterstützung von Kunden bei Konfiguration und Betrieb von Microsoft Defender und SentinelMöglichkeiten zur Spezialisierung in Bereichen wie Threat Hunting, Forensik, Incident Response oder Service EngineeringDas zeichnet dich ausPraxiserfahrung im Bereich IT-Security, idealerweise im Bereich eines Managed SOC und bei der Analyse von Sicherheitsvorfällen im Microsoft UmfeldFundierte Erfahrung in der Erstellung und Umsetzung von Detection Use Cases und Playbooks in Microsoft SentinelKlare, professionelle Kommunikation sowie sicheres Auftreten gegenüber KundenHohes Maß an Zuverlässigkeit, Diskretion und VerantwortungsbewusstseinSelbstständige und strukturierte Arbeitsweise mit ausgeprägter Lern- und WeiterentwicklungsbereitschaftDeine BenefitsPrivates und Beruf EAP Service (Employee Assistance Program): Unser vertrauliches Beratungsangebot für berufliche und persönliche Herausforderungen - Flexible Arbeitszeiten: Für Einklang bei Beruf und Privatleben - 30 Tage Urlaub: ausreichend Erholungszeit vom ArbeitsalltagMobilität Jobrad: Möglichkeit zum Leasing eines Fahrrads über uns – umweltfreundlich und gesund! - Firmenwagen (bei ausgewählten Positionen): Bei entsprechenden Positionen stellen wir dir einen Firmenwagen zur Verfügung. Es besteht die Möglichkeit ein E-Fahrzeug zu wählen.Gesundheit EGYM Wellpass: Zugang zu einem umfangreichen Gesundheits- und Fitnessangebot für dein körperliches Wohlbefinden. - Online SportprogrammeWeiterbildung Jährliche Mitarbeiter- und Entwicklungsgespräche - Kostenfreie Nutzung der Udemy-Plattform: Online-Kursen und Weiterbildungen, um deine Skills kontinuierlich zu erweitern - Individuelle Schulungs- und KarrieremöglichkeitenVorsorge und Sparen Betriebliche Altersvorsorge ab fünf Jahre Betriebszugehörigkeit - Vermögenswirksame LeistungenEinarbeitung Kick-off Veranstaltung für neue Mitarbeitende - Mentor-Programm durch einen erfahrenen Kollegen (m/w/d) - Individuelle EinarbeitungspläneVergünstigungen Bitkom – Corporate Benefits. Besonders günstige Konditionen und Angebote bei zahlreichen namhaften Anbietern aus den Bereichen Technik, Einrichtung, Mode, Reisen",Consulting;Incident Response;IT-Security;Kommunikation;Security Analyst;SOC;ELK Stack;Site Reliability Engineering
Projektron,TYPO3 Entwicklung / Web-Admin,"Ihre Aufgaben: Als TYPO3 Entwickler entwickeln Sie unsere Unternehmenswebsite mit dem Web-Content-Management-System TYPO3 kontinuierlich weiter. Dabei arbeiten Sie eng mit den Abteilungen Marketing, Geschäftsführung und IT zusammen. Weiterhin unterstützen Sie uns je nach Interesse und Berufserfahrung in weiteren Themenfeldern. Zu Ihrem Arbeitsalltag zählen folgende Aufgaben: Weiterentwicklung unserer Website mit dem CMS TYPO3 (Backend/Frontend) Erstellung individueller Layouts nach Vorgabe unseres Grafikdesigners oder Integration fertiger Templates Entwicklung von TYPO3-Extensions und Schnittstellen zu Projektron BCS Upgrade TYPO3 und Extensions Umsetzung technisches SEO Auch in den folgenden Bereichen können Sie je nach Schwerpunkt unterstützen: Kundenkonfiguration von Projektron BCS Unterstützung von Projekten unserer IT-Abteilung Phrase Express Administration Intranet/Confluence Administration Software Testing oder funktionales Testing von Projektron BCS | Ihr Profil: Guter Abschluss eines IT-nahen Studiums oder eine vergleichbare Ausbildung mit entsprechender Berufserfahrung Sicherer Umgang mit TypoScript Kenntnisse in TYPO3, MySQL und Standard-Webtechnologien (HTML, CSS, JavaScript) Kenntnisse in SEO von Vorteil",Confluence;CSS;Funktionales Testing;HTML;JavaScript;MySQL;Express.js
Bundespolizeipräsidium,Betriebsleitung (m/w/d) Rechenzentrum,"Tätigkeitsprofil: WIR SIND SICHERHEIT – ob an Land, in der Luft oder auf See. Gemeinsam sind wir ein Team mit und ohne Uniform. Werden auch Sie Teil der größten Sicherheitsbehörde Deutschlands und wirken Sie zusammen mit 54.000 Kolleginnen und Kollegen an der Sicherheitsstruktur im In- und Ausland mit. Sie lieben es, komplexe Sachverhalte mit intelligenten IT-Lösungen zu vereinfachen und wollen dafür sorgen, dass die Angehörigen der Bundespolizei mit der bestmöglichen, modernsten und sichersten Informations- und Kommunikationstechnik versorgt sind? Dann suchen wir Sie für einen sinnvollen Job für die Sicherheit Deutschlands! Ihre Aufgaben: Leitung und Koordinierung des täglichen Rechenzentrumsbetriebs am jeweiligen Standort Abstimmung mit zentralem Rechenzentrumsmanagement zur fachlichen Umsetzung von Arbeitsaufträgen Beratung von Bedarfsträgern zu Rechenzentrumsthemen am Standort Planung von Changemaßnahmen, Wartungsfenster und Betriebsfreigaben Koordination externer Dienstleister am Rechenzentrumsstandort Initiierung und Koordinierung von DGUV-Prüfungen Verantwortung des Besuchermanagements Fühlen Sie sich angesprochen? Bewerben Sie sich und beginnen Sie jetzt Ihre Zukunft bei der Bundespolizei! | Anforderungsprofil: Sie haben: ein abgeschlossenes Studium (Bachelor/Diplom FH) einer Fachrichtung aus dem MINT-Bereich fünf Jahre für das Tätigkeitsprofil relevante Berufserfahrung nachweisbare Erfahrung im Bereich Betriebsleitung Rechenzentrum nachweisbare IT-Kompetenz Deutschkenntnisse: verhandlungssicher in Wort und Schrift (mindestens Niveau C1) Zudem übernehmen Sie gerne Verantwortung, sind ein Teamplayer, kommunikativ und überzeugungsfähig.",Consulting
CompuSafe Data Systems AG,Firewall Administrator (m/w/d),"CompuSafe Data Systems AGCompuSafe Data Systems AGFirewall Administrator (m/w/d)Berlin, Bonn, Frankfurt am Main, Leipzig, München, Rheinbach +1Home-OfficeDokumentationFirewallIT-SecurityNetzwerkadministrationProjektmanagementRouting +1TopJetzt bewerbenDiese Tätigkeiten kommen auf Dich zu:Bearbeitung und Bewertung von Firewall-Freischaltungsanfragen hinsichtlich fachlicher, technischer und sicherheitsrelevanter AnforderungenAnalyse von Kommunikationsbeziehungen (Quell-/Zielsysteme, Ports, Protokolle und Kommunikationsrichtungen)Abstimmung mit Fachbereichen, Applikationsverantwortlichen und Netzwerkteams zur Klärung und Umsetzung von AnforderungenKonfiguration, Implementierung und Anpassung von Firewall-Regeln auf zentralen und dezentralen Firewall-SystemenDurchführung von Änderungen gemäß etablierten Change-Management-Prozessen unter Berücksichtigung des Least-Privilege-PrinzipsDurchführung von Funktionstests sowie Analyse von Netzwerkverkehr und Logdaten zur Fehlerdiagnose und QualitätssicherungVollständige Dokumentation von Firewall-Änderungen, Regelwerken und technischen Anpassungen gemäß Audit- und Compliance-VorgabenRegelmäßige Überprüfung, Optimierung und Bereinigung bestehender Firewall-Regeln zur Sicherstellung eines sicheren und effizienten BetriebsDas bringst Du mit:Abgeschlossenes Studium im Bereich (Wirtschafts-)Informatik oder eine vergleichbare abgeschlossene BerufsausbildungMindestens 2 Jahre Berufserfahrung im Netzwerkumfeld, beispielsweise als Netzwerkadministrator oder in einer vergleichbaren FunktionFundierte Kenntnisse in den Bereichen Netzwerke, Routing, Switching sowie Firewall-TechnologienErfahrung in der Bearbeitung und Umsetzung von Firewall-Freischaltungen und RegelwerksanpassungenKenntnisse im Bereich IT-Sicherheit sowie im Umgang mit Sicherheitsrichtlinien und Compliance-AnforderungenErfahrung in der Analyse von Netzwerkkommunikation, Logfiles und FehlerbildernCisco CCNP (Enterprise, Routing & Switching oder vergleichbar) oder eine vergleichbare Zertifizierung im Netzwerk- bzw. Security-UmfeldSehr gute Deutschkenntnisse (min. C1) und gute Englischkenntnisse (min. B2)Was uns so besonders macht:Wir befürworten betriebliche Altersvorsorge und bezuschussen diese mit 20% ab dem 1. ArbeitstagWir finanzieren für Dich eine betriebliche Krankenversicherung zur Reduzierung Deiner zusätzlichen Kosten im Krankheitsfall, für Vorsorgeleistungen oder Hilfsmittel (Gesetzlich- und Privatversicherte)Weitere individuelle Zusatzleistungen optimieren",Dokumentation;Firewall;IT-Security;Netzwerkadministration;Projektmanagement;Routing;Site Reliability Engineering
XFT,Produktmanager:in im SAP-Umfeld (m/w/d),"XFTXFTProduktmanager:in im SAP-Umfeld (m/w/d)Berlin, Walldorf (Baden)Home-OfficeABAPABAP OOJavaODataProjektmanagementSAP +1Jetzt bewerbenab sofortWalldorf oder BerlinunbefristetXFT entwickelt auf Basis des aktuellen SAP-Standards, unter Zusatz der eigenen Add-on Produkte und mit Hilfe projektspezifischer Implementierungen hochwertige Softwarelösungen für die Kernprozesse zahlreicher namhafter SAP-Kunden. Wir gehen mit der Zeit – vom agilen Projektmanagement bis zu innovativen Produkten. Für uns zählen Fairness, Qualität, Verantwortung und der Mut, Neues zu wagen und die eigene Meinung konstruktiv einzubringen zu vertreten. XFT steht für einen partnerschaftlichen Umgang sowohl im Team als auch mit Kunden.Bring dich als Produktmanagerin oder Produktmanager bei XFT ein und entwickle das Produktportfolio von XFT weiter. Du kannst sicher sein, dass Deine Leistung bemerkt und anerkannt wird.Starte wahlweise in Walldorf oder Berlin.Das erwartet Dich bei uns:Du bildest die Schnittstelle zwischen unseren Abteilungen Produktentwicklung, Vertrieb und BeratungIn Zusammenarbeit mit den Softwareentwickler:innen erfasst, bündelst und priorisierst Du die ProduktanforderungenDu unterstützt unsere Implementierungspartner, unsere Kunden und unsere Beratung mit Deinem Wissen zu unseren Produkten und sammelst Rückmeldungen einDu treibst die Weiterentwicklung der XFT-Produkte voran und verantwortest deren Funktionalität und MarktrelevanzDu erarbeitest Dir fundierte Marktkenntnisse bei SAP-Anwendungen und den XFT Add-on ProduktenDu organisierst Testaktivitäten der XFT-Produkte und unterstützt den Wissenstransfer zu neuen FunktionalitätenDu kommunizierst effektiv und führst bei Bedarf Schulungen für Kunden, Partner und XFT Kolleg:innen durchDas bieten wir dir:Eine flexible Arbeitszeitgestaltung und Möglichkeiten der mobilen ArbeitEine faire, leistungsorientierte VergütungZahlreiche attraktive Zusatzleistungen im Bereich der Mobilität, Gesundheit und Vereinbarkeit von Familie und BerufEin unbefristetes Arbeitsverhältnis in einem zukunftssicheren MarktEin Patenprogramm, individuelle Trainings und eine kontinuierliche Aus- und WeiterbildungOffene, hilfsbereite Atmosphäre und kleine TeamsRegelmäßige Firmen- und TeameventsDas bringst Du mit:Ein abgeschlossenes Hochschulstudium als (Wirtschafts-) Informatiker:in, Physiker:in, Mathematiker:in, BWLer:in, VWLer:in oder eines verwandten FachsIdealerweise Berufserfahrung in der SAP-Beratung oder -Entwicklung oder technisches Verständnis unt",Java;OData;Projektmanagement;SAP;Site Reliability Engineering
Senacor,Business Consultant Financial Services (m/w/d),"Deine Aufgaben: Du erarbeitest strategische Geschäftsmodelle im Digitalisierungskontext und analysierst IT-strategische Fragestellungen Du definierst fachliche oder technische Zielarchitektur von IT-Landschaften und einzelnen Anwendungen sowie modellierst und analyiserst Geschäftsprozesse und/ oder IT-Landschaften Du übernimmst Projekt-Management-Aufgaben u.a. in der Auswahl von anderen IT-Systemen/ Providern bzw. Maßnahmen zur strukturellen Kostensenkung und zuverlässigen Beherrschbarkeit der IT im Zeitablauf | Dein Profil: Du hast einen überdurchschnittlicher (Fach-) Hochschulabschluss in Wirtschaftswissenschaften, Wirtschaftsinformatik oder einem vergleichbaren Studiengang Idealerweise hast du bereits erste Erfahrungen in der Finanzindustrie oder einen entsprechenden Studienschwerpunkt, insbesondere in den Bereichen Banksteuerung, Risikomanagement, Treasury oder Asset-Liability-Management Du interessierst dich sowohl für strategische als auch für fachliche und technische Fragestellungen relevanter Finanzunternehmen in Transformation, Digitalisierung und Kostenoptimierung Du besitzt exzellentes Abstraktionsvermögen, Teamgeist und Erfolgswille",Coaching;Consultant;Consulting;Digitalisierung;Softwareentwicklung
PwC Deutschland,Praktikant Public Sector Consulting: Digitale Infrastrukturen (w/m/d),"PwC DeutschlandPwC DeutschlandPraktikant Public Sector Consulting: Digitale Infrastrukturen (w/m/d)BerlinHome-OfficeConsultingMS ExcelMS Office / Microsoft 365MS PowerPointMS WordTopJetzt bewerbenJoin our Community of SolversFür unseren Geschäftsbereich Transformation suchen wir dich zum nächstmöglichen Zeitpunkt als Praktikant Public Sector Consulting: Digitale Infrastrukturen (w/m/d).Das erwartet dichSpannende Beratungsprojekte – Du unterstützt Bundesministerien, öffentliche Institutionen und Unternehmen dabei, die (digitale) Infrastruktur in Deutschland zukunftsfähig zu gestalten. Dabei arbeitest du an aktuellen Fragestellungen rund um digitale Infrastrukturen, leistungsfähige Netze und die Digitalisierung öffentlicher Prozesse, wie z. B. beim Ausbau resilienter Infrastrukturen, der Ansiedelung von Rechenzentren, der Beschleunigung von Planungs- und Genehmigungsverfahren oder der Umsetzung großer staatlicher Förderprogramme. Umfangreiche Erfahrung – Du wirkst aktiv in Beratungsprojekten mit und unterstützt das Team entlang des gesamten Projektlebenszyklus – von der Analyse über die Konzeption bis zur Umsetzung. Thematische Schwerpunkte deiner Arbeit können u.a. sein: Weiterentwicklung digitaler und kritischer Infrastrukturen (z. B. Telekommunikation, Rechenzentren, Energie- und Dateninfrastrukturen), Unterstützung bei der Konzeption und Umsetzung von Förderprogrammen und Digitalisierungsinitiativen, Analyse und Optimierung von Verwaltungsprozessen im Kontext von Digitalisierung sowie Planungs- und Genehmigungsverfahren, Bewertung regulatorischer und wirtschaftlicher Rahmenbedingungen für Infrastruktur- und Digitalisierungsvorhaben. Konzeption und Analyse – Du führst strukturierte Analysen (z. B. zu Ausbau-, Markt- oder Förderstrukturen) durch, bereitest Ergebnisse adressatengerecht auf und der Entwicklung konkreter Handlungsempfehlungen für unsere Kunden mit. Stakeholder-Einbindung – Du unterstützt bei der Vorbereitung und Durchführung von Workshops und Abstimmungen mit Vertretern aus Verwaltung, Politik und Wirtschaft. Individuelle Stärken – Du bringst deine Fähigkeiten insbesondere in den Bereichen Analyse, Strukturierung, Projektmanagement und Kommunikation ein und entwickelst diese im Projektkontext gezielt weiter.Das bringst du mitDu studierst Wirtschafts-, Politik-, Verwaltungs-, Kommunikationswissenschaften oder einen vergleichbaren Studiengang und hast dein bisheriges Studium erfolgreich absolviert.Du hast erste praktische Erfahrungen, idealerwe",Consulting;MS Excel;MS PowerPoint;MS Word
SVA System Vertrieb Alexander,Application Observability Engineer (m/w/d),"Ihre Aufgaben: Sie geben unseren Kunden einen Überblick über ihre Applikationslandschaft, indem Sie Observability-Lösungen installieren, konfigurieren und erweitern. Sie binden neue Datenquellen an und bauen individuelle Visualisierungen sowie Analysen, um dem Kunden einen tieferen Einblick in die vorhandenen Systeme zu ermöglichen. Sie unterstützen bei Workshops und führen diese auch eigenständig durch, um Kundenvorhaben von Anfang an in erfolgreiche Bahnen zu lenken. Sie erarbeiten Lösungskonzepte auf Basis individueller Kundenanforderungen, damit die angebotene Observability-Lösung die Kundenbedürfnisse vollumfänglich erfüllt. Sie unterstützen Ihre Kollegen durch gegenseitigen Erfahrungsaustausch und Weiterbildungen, um jederzeit mit aktuellen Entwicklungen Schritt halten zu können. | Ihr Profil: Abgeschlossenes IT-orientiertes Studium oder abgeschlossene Ausbildung, aber auch Quereinsteiger (m/w/d) mit Fachkenntnissen sind herzlich willkommen Grundlegende Linux-Kenntnisse Erfahrungen mit Observability-Tools wie zum Beispiel Elasticsearch, Grafana, AppDynamics oder Splunk von Vorteil Idealerweise Kenntnisse aus der Softwareentwicklung, Skriptsprachen oder Erfahrungen mit DevOps Selbstständige Arbeitsweise und ausgeprägte Serviceorientierung Spaß am Umgang mit IT-Systeme und intrinsische Motivation, Neues zu lernen Gute Kommunikationsfähigkeiten mit Deutschkenntnissen auf Level C1 (oder besser) sowie Englischkenntnissen auf Level B2 (oder besser)",DevOps;Elasticsearch;Grafana;Linux;Splunk
